iter	Logloss
254	0.6436486788
255	0.643616286
256	0.6435697443
257	0.64356691
258	0.6434929537
259	0.6434925435
260	0.6434887263
261	0.6434439806
262	0.6433749061
263	0.6433235937
264	0.6433085628
265	0.643305172
266	0.6432824729
267	0.6432274423
268	0.6431679276
269	0.6431294596
270	0.6431085762
271	0.6430980012
272	0.6430539379
273	0.6429933406
274	0.6429885553
275	0.6429461426
276	0.6428993924
277	0.6428449078
278	0.6428261653
279	0.6428029912
280	0.6427496364
281	0.6427435934
282	0.6425469802
283	0.6424869261
284	0.642438103
285	0.6424227051
286	0.6423480562
287	0.6420094674
288	0.6419680821
289	0.6418781045
290	0.6418628109
291	0.6418300913
292	0.6417405542
293	0.641675007
294	0.6416156501
295	0.641590153
296	0.6415500161
297	0.6415347505
298	0.641444534
299	0.6413900846
300	0.6412883802
301	0.6412548899
302	0.6411699355
303	0.6411572264
304	0.6411081416
305	0.6410898953
306	0.6410773925
307	0.6410619575
308	0.6410241685
309	0.6409991652
310	0.6409616991
311	0.6409321636
312	0.6409317609
313	0.6409104357
314	0.6408641976
315	0.6408249446
316	0.6407599277
317	0.6407222431
318	0.6406918814
319	0.6406468411
320	0.6406207287
321	0.640587025
322	0.6405411142
323	0.6405350135
324	0.6404747223
325	0.6404583225
326	0.6403584478
327	0.640304332
328	0.6402469943
329	0.6402209854
330	0.6401635097
331	0.6401449807
332	0.6401433517
333	0.6401424764
334	0.6401341917
335	0.6401303361
336	0.6401136869
337	0.6400319072
338	0.639976272
339	0.6399636022
340	0.6399388988
341	0.6398930976
342	0.6398788629
343	0.6398051877
344	0.6396738775
345	0.6396020453
346	0.6395888465
347	0.639544309
348	0.6394488704
349	0.6393930621
350	0.6393833373
351	0.6392771063
352	0.6392357977
353	0.6391452179
354	0.6391388959
355	0.6390621153
356	0.6389900472
357	0.6389579523
358	0.6389225857
359	0.6388882925
360	0.6387457549
361	0.6386306879
362	0.6385936185
363	0.6385716786
364	0.6384916176
365	0.6384664715
366	0.638407497
367	0.6383783267
368	0.638322878
369	0.6378587983
370	0.6378200507
371	0.6377642456
372	0.6376940354
373	0.6376464619
374	0.6375780751
375	0.6375134803
376	0.6374897869
377	0.6374012809
378	0.6372465785
379	0.6371978905
380	0.6371291605
381	0.6369007342
382	0.6367464534
383	0.6366988292
384	0.6366438879
385	0.6365492824
386	0.6364474853
387	0.6363775734
388	0.6363082436
389	0.6362562999
390	0.6361858243
391	0.6361757614
392	0.6360834422
393	0.6360236069
394	0.6359383897
395	0.6358762072
396	0.6358198457
397	0.6357006079
398	0.6356320741
399	0.6355785915
400	0.6354410517
401	0.6353825787
402	0.6353066687
403	0.6352659463
404	0.6352342834
405	0.6351486869
406	0.6350615578
407	0.6347097841
408	0.6345996823
409	0.6345704035
410	0.6344243559
411	0.6343833946
412	0.6343204644
413	0.6342672131
414	0.6341810853
415	0.6341417455
416	0.6340522436
417	0.6339429003
418	0.6338731977
419	0.6338066809
420	0.6336486079
421	0.6335230246
422	0.633394099
423	0.6332696859
424	0.6331698659
425	0.6330601362
426	0.6329341167
427	0.6328042511
428	0.6326387566
429	0.6325461515
430	0.6324923991
431	0.6323818452
432	0.632287417
433	0.6321913124
434	0.6320957124
435	0.6320073743
436	0.6319876737
437	0.6318906228
438	0.6318465954
439	0.6317843932
440	0.6316824737
441	0.6316592164
442	0.6313766554
443	0.6313476085
444	0.6312743514
445	0.6311750378
446	0.6310485788
447	0.6309536169
448	0.6308037808
449	0.6306871157
450	0.6306070059
451	0.6305373476
452	0.630400916
453	0.630343574
454	0.6302836613
455	0.6301965329
456	0.6301436782
457	0.6300607609
458	0.6299624712
459	0.6298715067
460	0.6298105608
461	0.6297446999
462	0.6296743576
463	0.6295821337
464	0.6295078455
465	0.6294037144
466	0.6292854785
467	0.6291761284
468	0.629127882
469	0.6290353176
470	0.6289481522
471	0.628863741
472	0.6287626439
473	0.6286956932
474	0.6286202098
475	0.6285816931
476	0.6284833657
477	0.6283436011
478	0.6282516373
479	0.6281790672
480	0.6279316286
481	0.627841833
482	0.6277708936
483	0.627697886
484	0.6276630194
485	0.6275719329
486	0.6275247582
487	0.6273885161
488	0.6272827974
489	0.6272589738
490	0.6272049214
491	0.6271792208
492	0.6270958066
493	0.6270193275
494	0.6269791952
495	0.626760553
496	0.6266792412
497	0.6265908229
498	0.6264744735
499	0.6264014467
500	0.6262686562
501	0.6261733532
502	0.6260577941
503	0.6259499515
504	0.6258639214
505	0.625777449
506	0.6256812929
507	0.6255568065
508	0.6254603611
509	0.6253580099
510	0.6253271365
511	0.6252124548
512	0.6251443918
513	0.6250894592
514	0.6250487938
515	0.6249722679
516	0.6249448578
517	0.6248846701
518	0.6248570191
519	0.6247871753
520	0.6247088192
521	0.6246624367
522	0.6245870514
523	0.6244778343
524	0.6244599593
525	0.6244195151
526	0.6243462872
527	0.6242985354
528	0.6242686105
529	0.6241864862
530	0.6241391527
531	0.6240608372
532	0.6239447949
533	0.6238604115
534	0.6237994447
535	0.6237125747
536	0.6236524317
537	0.6236208073
538	0.6235572975
539	0.6234788765
540	0.6233479927
541	0.6232896242
542	0.6231814337
543	0.623099221
544	0.623039432
545	0.6229766508
546	0.6229025169
547	0.62278686
548	0.6227491415
549	0.6226684847
550	0.6225792665
551	0.6225594471
552	0.6224735632
553	0.6223657219
554	0.6223300379
555	0.6223115318
556	0.6222370514
557	0.6222115111
558	0.6221672622
559	0.6221386113
560	0.6220298995
561	0.621997033
562	0.6218877961
563	0.621851937
564	0.6217235241
565	0.6216075399
566	0.6215272896
567	0.6214750729
568	0.6214316132
569	0.6213372868
570	0.6212348848
571	0.6211376772
572	0.621092268
573	0.6209658749
574	0.620851015
575	0.620778612
576	0.6207243849
577	0.62065672
578	0.620587271
579	0.6205357089
580	0.6204772869
581	0.6203719317
582	0.6202729228
583	0.6202298733
584	0.6201688753
585	0.6200656114
586	0.6199736945
587	0.6199259932
588	0.6198870776
589	0.6198230462
590	0.6197829132
591	0.619684216
592	0.6196066134
593	0.6195780738
594	0.6194801379
595	0.6194303372
596	0.6193533343
597	0.6192511385
598	0.6191533791
599	0.6191128206
600	0.6190644691
601	0.6190500454
602	0.6189629632
603	0.6189312314
604	0.6188437037
605	0.6187541015
606	0.6187290723
607	0.6187127228
608	0.6186682302
609	0.6185718967
610	0.6185155091
611	0.6184602358
612	0.6183655298
613	0.6183108653
614	0.6182483691
615	0.6181659001
616	0.6180901802
617	0.6180390365
618	0.6180055171
619	0.6179416673
620	0.6178737423
621	0.6178330179
622	0.6177848863
623	0.6177459699
624	0.6176513097
625	0.617625337
626	0.6175596578
627	0.6175340744
628	0.6173735489
629	0.6173188313
630	0.6172603225
631	0.6171627234
632	0.6171129938
633	0.6170913833
634	0.6170741836
635	0.616987216
636	0.6169026531
637	0.6168394912
638	0.6167810353
639	0.6167361366
640	0.6167132302
641	0.6166597654
642	0.6165980807
643	0.6165865263
644	0.6165609669
645	0.616495994
646	0.6164613297
647	0.6164091871
648	0.6163184499
649	0.6162902475
650	0.6161987713
651	0.6160778033
652	0.6159923632
653	0.6159181827
654	0.6158758771
655	0.6158580198
656	0.6157601042
657	0.6156943324
658	0.6156800894
659	0.615635876
660	0.6155774201
661	0.6155316814
662	0.6154592788
663	0.61540601
664	0.6153953287
665	0.6153409186
666	0.6152614329
667	0.615213689
668	0.6151938252
669	0.6151181894
670	0.6150390953
671	0.6149715341
672	0.6149206378
673	0.6148080077
674	0.6147976317
675	0.6147364926
676	0.6147082908
677	0.6146698189
678	0.6145918516
679	0.6145721756
680	0.6145122096
681	0.6144396954
682	0.6144188133
683	0.6143223766
684	0.6142517369
685	0.6142119149
686	0.6141575655
687	0.6141121397
688	0.6140753751
689	0.6140403578
690	0.6139602594
691	0.6139234985
692	0.6138462117
693	0.6138314192
694	0.6137983525
695	0.6137384975
696	0.6136685985
697	0.6136102887
698	0.6135917706
699	0.6135483406
700	0.6135155162
701	0.6134465313
702	0.6134081358
703	0.6133768329
704	0.6133226245
705	0.6132194013
